id,description,chart_template_id:id,name,sequence,amount,amount_type,type_tax_use,price_include,tag_ids/id,children_tax_ids/id,account_id/id,refund_account_id/id
21v INC,21v INC,chart_template_simplerp,Iva al 21% (debito) INC,917,21,percent,sale,True,tax_tag_21vINC,,4805045,4805045
20v INC,20v INC,chart_template_simplerp,Iva al 20% (debito) INC,918,20,percent,sale,True,tax_tag_20vINC,,4805045,4805045
2110a,2110a,chart_template_simplerp,Iva al 21% detraibile 10% (I),100,18.9,percent,none,False,,,,
2110b,2110b,chart_template_simplerp,Iva al 21% detraibile 10% (D),200,2.1,percent,none,False,,,1820005,1820005
2110,2110,chart_template_simplerp,Iva al 21% detraibile 10%,919,21,group,purchase,False,tax_tag_2110,"2110a,2110b",,
2115a,2115a,chart_template_simplerp,Iva al 21% detraibile 15% (I),100,17.85,percent,none,False,,,,
2115b,2115b,chart_template_simplerp,Iva al 21% detraibile 15% (D),200,3.15,percent,none,False,,,1820005,1820005
2115,2115,chart_template_simplerp,Iva al 21% detraibile 15%,922,21,group,purchase,False,tax_tag_2115,"2115a,2115b",,
2140a,2140a,chart_template_simplerp,Iva al 21% detraibile 40% (I),100,12.6,percent,none,False,,,,
2140b,2140b,chart_template_simplerp,Iva al 21% detraibile 40% (D),200,8.4,percent,none,False,,,1820005,1820005
2140,2140,chart_template_simplerp,Iva al 21% detraibile 40%,925,21,group,purchase,False,tax_tag_2140,"2140a,2140b",,
21AOb,21AOb,chart_template_simplerp,Iva al 21% indetraibile (D),200,0,percent,none,False,,,1820005,1820005
21AOa,21AOa,chart_template_simplerp,Iva al 21% indetraibile (I),100,21,percent,none,False,,,,
21AO,21AO,chart_template_simplerp,Iva al 21% indetraibile,928,21,group,purchase,False,tax_tag_21AO,"21AOb,21AOa",,
21I5a,21I5a,chart_template_simplerp,Iva al 21% detraibile al 50% (I),100,10.5,percent,none,False,,,,
21I5b,21I5b,chart_template_simplerp,Iva al 21% detraibile al 50% (D),200,10.5,percent,none,False,,,1820005,1820005
21I5,21I5,chart_template_simplerp,Iva al 21% detraibile al 50%,929,21,group,purchase,False,tax_tag_21I5,"21I5a,21I5b",,
21art38a,21art38a,chart_template_simplerp,Operazione non imponibile – art.38 D.L. 331/93 21% (credito),932,21,percent,purchase,False,tax_tag_21art38a,,1820006,1820006
21art38v,21art38v,chart_template_simplerp,Operazione non imponibile – art.38 D.L. 331/93 21% (debito),933,21,percent,sale,False,tax_tag_21art38v,,4805046,4805046
